d6a603c was Danne Connolly, 2 days ago, message: First commit
6dbde06 was Taylor Otwell, 7 days ago, message: Merge pull request #4138 from rickbolton/master
0257612 was Rick Bolton, 7 days ago, message: Updated axios, jQuery, Laravel Mix, Lodash and Vue.js versions
0cb107c was Taylor Otwell, 12 days ago, message: move fontsls
f0f1a13 was Taylor Otwell, 12 days ago, message: Merge pull request #4136 from ahmed3mar/patch-1
2cc5f34 was Ahmed M. Ammar, 12 days ago, message: Add font path variable
d2d8912 was Taylor Otwell, 12 days ago, message: Merge pull request #4135 from laravel/analysis-qJgPYE
be631a6 was Mohamed Said, 12 days ago, message: Apply fixes from StyleCI
a6fdc94 was Mohamed Said, 12 days ago, message: Put back configuration for sendmail
6574b9d was Taylor Otwell, 13 days ago, message: Merge pull request #4133 from luisdalmolin/master
ae03042 was Luis Dalmolin, 13 days ago, message: Updated laravel-mix version
1f4bf24 was Taylor Otwell, 2 weeks ago, message: Merge pull request #4131 from crynobone/patch-1
926f53b was Mior Muhammad Zaki, 2 weeks ago, message: Laravel 5.4 explicitly require phpunit 5.7.0+
1306ff2 was Taylor Otwell, 2 weeks ago, message: Merge pull request #4130 from atefBB/patch-1
72a76c0 was Atef Ben Ali, 2 weeks ago, message: Add App locate as default value of 'lang' attribute
64bea7c was Taylor Otwell, 2 weeks ago, message: Merge pull request #4129 from laravel/revert-4126-patch-1
095fa50 was Taylor Otwell, 2 weeks ago, message: Revert "Append '@' to let composer resolve PHP executable"
7a44ebe was Taylor Otwell, 2 weeks ago, message: Merge pull request #4128 from monomichael/master
0cdcc77 was Michael Zhang, 2 weeks ago, message: Make axios automatically send the `X-CSRF-TOKEN`
d0c5c04 was Taylor Otwell, 2 weeks ago, message: Merge pull request #4126 from timgws/patch-1
cc42c3f was Tim Groeneveld, 2 weeks ago, message: Append '@' to let composer resolve PHP executable
1e68597 was Taylor Otwell, 3 weeks ago, message: Merge pull request #4124 from vantoozz/vantoozz-patch-1
1078776 was Ivan Nikitin, 3 weeks ago, message: Remove redundant check from bootstrap/autoload.php
547bb96 was Taylor Otwell, 3 weeks ago, message: Merge pull request #4121 from jpmurray/patch-1
d4d5330 was Jean-Philippe Murray, 3 weeks ago, message: Remove the hot file from versionning
8c6e40c was Taylor Otwell, 3 weeks ago, message: Merge pull request #4117 from fzoske/windows-fix
c55b8ef was fzoske, 3 weeks ago, message: Ensure cross-env gets executed by node
99ec094 was Taylor Otwell, 3 weeks ago, message: Merge pull request #4115 from ericdowell/ericdowell-patch-1
bf33e17 was Eric Dowell, 3 weeks ago, message: Update composer.json
f1430ce was Taylor Otwell, 3 weeks ago, message: Merge pull request #4114 from yuters/patch-2
489f2f3 was Martin Bastien, 3 weeks ago, message: Add missing path for Yarn Fix
d9f54e3 was Taylor Otwell, 3 weeks ago, message: Merge pull request #4113 from laravel/yarn-fix
e0a3b26 was Taylor Otwell, 3 weeks ago, message: update composer fil
3fa134d was Jeffrey Way, 3 weeks ago, message: Make scripts work with Yarn
fa7d9df was Taylor Otwell, 3 weeks ago, message: Merge pull request #4111 from diogoazevedos/patch-2
f4bc6e5 was Diogo Azevedo, 3 weeks ago, message: Use const and destructuring assignment
182c889 was Taylor Otwell, 3 weeks ago, message: Merge pull request #4110 from laravel/fix
b6274c9 was Jeffrey Way, 3 weeks ago, message: Bump Mix dependency
5994e24 was Taylor Otwell, 4 weeks ago, message: Merge branch 'master' into develop
a9fad67 was Taylor Otwell, 4 weeks ago, message: fix spacing
d1fd418 was Drew Budwin, 4 weeks ago, message: Fixed a typo in a block comment queue.php
4abe343 was Taylor Otwell, 4 weeks ago, message: Merge pull request #4102 from TheoKouzelis/fix/pusher-config-names
1a5f5c6 was Theo Kouzelis, 4 weeks ago, message: [5.4] Change PUSHER enviroment variable names
c679fb1 was Taylor Otwell, 4 weeks ago, message: fix spacing
100aa01 was Taylor Otwell, 4 weeks ago, message: rename mix command to dev
54c5e15 was Taylor Otwell, 4 weeks ago, message: Trim and convert strings to nulls.
a205b12 was Taylor Otwell, 4 weeks ago, message: add mix settings
7cf27b2 was Taylor Otwell, 4 weeks ago, message: make env variables for aws
590257f was Taylor Otwell, 4 weeks ago, message: Comment out by default.
01ad315 was Taylor Otwell, 4 weeks ago, message: add auth session middleware to web group
a6d2034 was Taylor Otwell, 4 weeks ago, message: Merge pull request #4098 from KennedyTedesco/compiled-5.4
ec85297 was Kennedy Tedesco, 4 weeks ago, message: [5.4] Remove compile.php
1a48254 was Taylor Otwell, 6 weeks ago, message: Merge pull request #4095 from laravel/revert-4093-fix/pusher-config
7b3e884 was Taylor Otwell, 6 weeks ago, message: Revert "[5.4] Change PUSHER enviroment variable names"
251140e was Taylor Otwell, 6 weeks ago, message: use env var
65d5510 was Taylor Otwell, 6 weeks ago, message: remove url
da62be6 was Taylor Otwell, 6 weeks ago, message: Put URL config option on the disk to make it obvious how to customize.
7bb56ef was Taylor Otwell, 6 weeks ago, message: Merge pull request #4093 from TheoKouzelis/fix/pusher-config
de750d9 was Theo Kouzelis, 6 weeks ago, message: Change PUSHER enviroment variable names
770c415 was Taylor Otwell, 6 weeks ago, message: Remove fetch mode option.
402b12f was Taylor Otwell, 6 weeks ago, message: tweak default cache directory
52f0196 was Taylor Otwell, 7 weeks ago, message: Move broadcast channel registration to a routes file.
b748931 was Taylor Otwell, 7 weeks ago, message: Merge pull request #4083 from laravel/tinker
df1298b was Taylor Otwell, 7 weeks ago, message: Merge pull request #4084 from laravel/mail
d7b0e32 was Graham Campbell, 7 weeks ago, message: Remove the "mail" driver as recommended, and add "array"
380c3a7 was Graham Campbell, 7 weeks ago, message: Added tinker to the default app
36875bb was Graham Campbell, 7 weeks ago, message: Merge branch 'master' into develop
b43890c was Taylor Otwell, 7 weeks ago, message: Update readme.md
0a1cdb2 was Taylor Otwell, 7 weeks ago, message: Update readme.md
077d404 was Taylor Otwell, 8 weeks ago, message: list post check middleware
42973cb was Taylor Otwell, 9 weeks ago, message: spacing
e78ef3e was Taylor Otwell, 9 weeks ago, message: tweak js file
b9db286 was Taylor Otwell, 9 weeks ago, message: remove spacing
46e389f was Taylor Otwell, 9 weeks ago, message: remove unneeded files
83b76a7 was Taylor Otwell, 9 weeks ago, message: Merge pull request #4074 from driesvints/patch-1
483c967 was Dries Vints, 9 weeks ago, message: Sort Composer packages by default
696ab51 was Taylor Otwell, 9 weeks ago, message: make 503 page more consistent with welcome page
45b779f was Taylor Otwell, 9 weeks ago, message: cluster option not needed anymore
25aeb5d was Taylor Otwell, 9 weeks ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
c7eb99d was Taylor Otwell, 9 weeks ago, message: add new mail settings
673f110 was Taylor Otwell, 10 weeks ago, message: Merge pull request #4069 from JosephSilber/route-groups
3e661aa was Joseph Silber, 10 weeks ago, message: Use path for group directly
e3ad1ab was Taylor Otwell, 10 weeks ago, message: recompile
60cbf67 was Taylor Otwell, 10 weeks ago, message: rebuild assets
b5ae7af was Taylor Otwell, 10 weeks ago, message: Merge pull request #4068 from yuters/patch-1
f298165 was Martin Bastien, 10 weeks ago, message: Make axios compatible with Request::ajax()
61b157f was Taylor Otwell, 10 weeks ago, message: Merge pull request #4067 from JosephSilber/fluent-routes
ef1ef75 was Joseph Silber, 10 weeks ago, message: Use fluent routes
99bb075 was Taylor Otwell, 2 months ago, message: use new route syntax
d1ba0c3 was Taylor Otwell, 2 months ago, message: Merge pull request #4066 from damiencriado/patch-1
7d4115f was Damien Criado, 2 months ago, message: Fix `AUTH` failed: ERR Client sent AUTH
d4bddc5 was Taylor Otwell, 2 months ago, message: remove unneeded deps
a7481f6 was Taylor Otwell, 2 months ago, message: fix assertion
ba5bde7 was Taylor Otwell, 2 months ago, message: add trait
b64d1e3 was Taylor Otwell, 2 months ago, message: fix example test
cf73f8c was Taylor Otwell, 3 months ago, message: update deps
ff15da8 was Taylor Otwell, 3 months ago, message: remove trait from test
08eefbc was Taylor Otwell, 3 months ago, message: Organize tests.
4c6e477 was Taylor Otwell, 3 months ago, message: Merge pull request #4059 from insoutt/insoutt-patch-1
cc47df3 was insoutt, 3 months ago, message: Update mounted instead of ready
cffcc49 was Taylor Otwell, 3 months ago, message: Merge pull request #4055 from themsaid/weakdateroles
fa1eae3 was Mohamed Said, 3 months ago, message: add language lines for before_or_equal and after_or_equal
6645cae was Taylor Otwell, 3 months ago, message: Merge pull request #4053 from mattmcdonald-uk/master
fff42ec was Matt McDonald, 3 months ago, message: Redirect for registration only
c803ff1 was Taylor Otwell, 3 months ago, message: revert broken PR
fc3b4d1 was Taylor Otwell, 3 months ago, message: Merge pull request #4052 from laravel/analysis-qomWEg
8182b99 was Taylor Otwell, 3 months ago, message: Applied fixes from StyleCI
b122f77 was Taylor Otwell, 3 months ago, message: Merge pull request #4051 from lokielse/master
69df2ad was Loki Else, 3 months ago, message: Support predis v1.1.1
038ae10 was Taylor Otwell, 3 months ago, message: Merge pull request #4046 from diogoazevedos/master
9ca8ed9 was Diogo Azevedo, 3 months ago, message: Update the default redis host
be90d3f was Taylor Otwell, 3 months ago, message: Merge pull request #4045 from DojoGeekRA/patch-1
fd42e10 was Roberto Aguilar, 3 months ago, message: Changes localhost to 127.0.0.1 in database config
e72463d was Taylor Otwell, 3 months ago, message: change var name
d47697e was Jrean, 3 months ago, message: Env for mail sender address + name
cddb8a2 was Taylor Otwell, 3 months ago, message: Merge pull request #4036 from danieliancu/patch-1
4e912e3 was Daniel Iancu, 3 months ago, message: Updated package.json
7b31893 was Taylor Otwell, 3 months ago, message: Ship axios instead of vue-resource.
f29c943 was Taylor Otwell, 4 months ago, message: Update readme.md
5937bbe was Taylor Otwell, 4 months ago, message: Update readme.md
2226555 was Taylor Otwell, 4 months ago, message: wording and spacing
95f1157 was Taylor Otwell, 4 months ago, message: wording change
b494bb9 was Taylor Otwell, 4 months ago, message: remove a link
1790aa4 was Taylor Otwell, 4 months ago, message: readme
c6ee753 was Taylor Otwell, 4 months ago, message: updatin greadme
3bd4567 was Taylor Otwell, 4 months ago, message: remove centering on badges
4337280 was Taylor Otwell, 4 months ago, message: working on readme
100c102 was Taylor Otwell, 4 months ago, message: convert binding
5410fb2 was Taylor Otwell, 4 months ago, message: Merge branch 'master' into develop
bc08030 was Taylor Otwell, 4 months ago, message: Merge pull request #4023 from lkmadushan/formatting-web-routes
f7e4984 was Kalpa Perera, 4 months ago, message: comment formatting
74e35eb was Taylor Otwell, 4 months ago, message: formatting
6ab4975 was Kalpa Perera, 4 months ago, message: changed typo
e5147a5 was vagrant, 4 months ago, message: Changed web route description
9afcefb was Taylor Otwell, 4 months ago, message: increment version
6013b88 was Taylor Otwell, 4 months ago, message: Merge branch 'master' into develop
6a2bf44 was Taylor Otwell, 4 months ago, message: clear up comment
c87566b was Taylor Otwell, 4 months ago, message: stability
af4f5bd was Taylor Otwell, 4 months ago, message: change versions
9d01389 was Taylor Otwell, 4 months ago, message: use utf8mb4 as default character set
7479a8b was Taylor Otwell, 4 months ago, message: Merge pull request #4019 from jirehstudios/master
3222e30 was jirehstudios, 4 months ago, message: Added recommended parentheses
d22b32f was Taylor Otwell, 4 months ago, message: spacing
f55d7a9 was Mubashar Abbas, 4 months ago, message: Merge https://github.com/laravel/laravel
e7a111c was Mubashar Abbas, 4 months ago, message: made it a little more consistent with the previous sentence.
3437566 was Taylor Otwell, 4 months ago, message: Merge pull request #4008 from vinkla/patch-1
1d8dcad was Vincent Klaiber, 4 months ago, message: Remove .gitkeep in migrations directory
0d2a2e3 was Vincent Klaiber, 4 months ago, message: Remove .gitkeep in seeds directory
fdef1b6 was Taylor Otwell, 4 months ago, message: Merge pull request #4007 from vinkla/patch-1
5b78106 was Taylor Otwell, 4 months ago, message: Merge pull request #4001 from RonMelkhior/master
6325610 was Vincent Klaiber, 4 months ago, message: Use fullpath for validator facade
7a851c7 was Graham Campbell, 4 months ago, message: Merge pull request #4005 from carlosmtrinidad/master
6e8d629 was Carlos M. Trinidad, 4 months ago, message: Remove space in _variables.scss
1905c96 was Taylor Otwell, 4 months ago, message: Merge pull request #4004 from diogoazevedos/schema-drop
3ecc0e3 was Diogo Azevedo, 4 months ago, message: Use dropIfExists instead of drop
6b73fae was Ron Melkhior, 4 months ago, message: Add redirectTo attribute to the reset password controller
472d6ae was Taylor Otwell, 4 months ago, message: Merge pull request #4000 from zaknes/master
d0fa3fc was Zak Nesler, 4 months ago, message: Added home link to welcome page
38ba328 was Taylor Otwell, 4 months ago, message: Merge pull request #3996 from jehadassaf/patch-1
f7a79a3 was Jehad Assaf, 4 months ago, message: Ignore Passport-generated OAuth keys
5dc817b was Taylor Otwell, 4 months ago, message: Merge pull request #3994 from craigpaul/master
d288662 was Craig Paul, 4 months ago, message: Updates laravel-elixir version for vue 2 compatibility
992aad0 was Taylor Otwell, 4 months ago, message: Merge remote-tracking branch 'origin/master'
ed9a82d was Taylor Otwell, 4 months ago, message: fix comment
